,Date,headline,sentiment_mean,sentiment_pos,sentiment_neg
33,2022-01-10 08:00:00,Apple services enrich peoples’ lives throughout the year - Apple,0.0,0.0,0.0
34,2022-02-08 08:00:00,Apple unveils contactless payments via Tap to Pay on iPhone - Apple,-0.2023,0.0,0.109
35,2022-03-08 08:00:00,Apple announces the new iPhone SE: a powerful smartphone in an iconic design - Apple,0.6808,0.162,0.0
36,2022-03-23 07:00:00,Apple launches the first driver’s license and state ID in Wallet with Arizona - Apple,0.0,0.0,0.0
37,2022-04-27 07:00:00,Apple’s Self Service Repair now available - Apple,0.0,0.0,0.0
38,2022-05-17 07:00:00,"Apple previews innovative accessibility features combining the power of hardware, software, and machine learning - Apple",0.7003,0.158,0.0
39,2022-06-06 07:00:00,"watchOS 9 delivers new ways to stay connected, active, and healthy - Apple",0.7964,0.252,0.0
40,2022-06-06 07:00:00,Apple unveils an all-new Lock Screen experience and new ways to share and communicate in iOS 16 - Apple,0.5267,0.106,0.0
41,2022-07-06 07:00:00,Apple expands industry-leading commitment to protect users from highly targeted mercenary spyware - Apple,0.8807,0.365,0.0
42,2022-09-07 07:00:00,Apple introduces iPhone 14 and iPhone 14 Plus - Apple,0.0,0.0,0.0
43,2022-11-10 08:00:00,Emergency SOS via satellite made possible by $450M Apple investment - Apple,-0.3818,0.0,0.098
44,2022-11-15 08:00:00,Emergency SOS via satellite available today on the iPhone 14 lineup in the US and Canada - Apple,-0.3818,0.0,0.067
45,2022-11-28 08:00:00,App Store Awards celebrate the best apps and games of 2022 - Apple,0.9712,0.509,0.0
46,2022-12-06 08:00:00,Apple launches Self Service Repair in Europe - Apple,0.0,0.0,0.0
47,2022-12-06 08:00:00,"Apple announces biggest upgrade to App Store pricing, adding 700 new price points - Apple",0.0,0.0,0.0
48,2022-12-06 08:00:00,Apple introduces Apple Music Sing - Apple,0.0,0.0,0.0
49,2022-12-07 08:00:00,Apple advances user security with powerful new data protections - Apple,0.8555,0.354,0.0
